0 | Ossa | Nikita | Day group | 53 | 629 | 75 | 352
846 | Meye | Oleg | Evening group | 19 | 514 | 83 | 909
847 | Kot | Maria | Day group | 49 | 544 | 300 | 113
848 | Meuler | Alexandr | Day group | 4 | 468 | 196 | 513
849 | Kot | Oleg | Day group | 13 | 822 | 41 | 709
850 | Ossa | Oleg | Day group | 44 | 204 | 769 | 226
851 | Erochevich | Anastasia | Evening group | 27 | 341 | 154 | 804
852 | Kot | Artem | Day group | 0 | 430 | 710 | 38
853 | Meye | Dmitriy | Day group | 9 | 911 | 326 | 980
854 | Rozental | Alexey | Day group | 6 | 428 | 351 | 551
855 | Pogrebnyak | Nikita | Evening group | 6 | 390 | 363 | 898
856 | Bobr | Nikita | Day group | 37 | 810 | 12 | 961
857 | Chernych | Elena | Day group | 18 | 769 | 544 | 30
858 | Fischer | Dmitriy | Evening group | 19 | 681 | 488 | 897
859 | Rozental | Valentin | Day group | 25 | 506 | 233 | 565
860 | Kornienko | Valentin | Evening group | 30 | 465 | 182 | 945
861 | Erochevich | Sonya | Evening group | 5 | 89 | 347 | 276
862 | Pogrebnyak | Anastasia | Day group | 19 | 345 | 246 | 228
863 | Meuler | Valentin | Day group | 6 | 538 | 315 | 950
864 | Fischer | Valentin | Day group | 1 | 1 | 596 | 157
865 | Erochevich | Marina | Evening group | 16 | 551 | 879 | 153
866 | Fischer | Marina | Evening group | 41 | 874 | 727 | 270
867 | Bobr | Oleg | Evening group | 42 | 612 | 88 | 666
868 | Meuler | Artem | Day group | 14 | 761 | 792 | 737
869 | Kot | Artem | Evening group | 39 | 182 | 559 | 771
870 | Rozental | Nikita | Day group | 40 | 931 | 86 | 83
871 | Meye | Marina | Evening group | 9 | 452 | 811 | 47
872 | Meuler | Anastasia | Evening group | 1 | 817 | 59 | 385
873 | Kot | Maria | Evening group | 56 | 408 | 91 | 462
874 | Kot | Elena | Evening group | 38 | 837 | 512 | 959
875 | Erochevich | Marina | Evening group | 41 | 162 | 382 | 530
876 | Grechko | Dmitriy | Evening group | 18 | 276 | 609 | 172
877 | Meuler | Sonya | Evening group | 37 | 15 | 513 | 569
878 | Pogrebnyak | Elena | Evening group | 4 | 271 | 447 | 318
879 | Grechko | Marina | Day group | 53 | 141 | 248 | 320
880 | Bobr | Artem | Evening group | 5 | 811 | 491 | 883
881 | Rozental | Alexandr | Day group | 25 | 718 | 407 | 227
882 | Fischer | Marina | Day group | 42 | 687 | 911 | 407
883 | Kot | Elena | Day group | 40 | 747 | 927 | 482
884 | Pogrebnyak | Oleg | Evening group | 36 | 232 | 296 | 997
885 | Rozental | Anastasia | Day group | 4 | 176 | 147 | 491
886 | Chernych | Maria | Day group | 6 | 293 | 352 | 428
887 | Ossa | Alexey | Evening group | 10 | 283 | 540 | 870
888 | Bobr | Vladislav | Day group | 1 | 92 | 689 | 425
889 | Ossa | Alexandr | Day group | 52 | 627 | 735 | 206
890 | Kornienko | Alexandr | Evening group | 45 | 94 | 707 | 195
891 | Bobr | Alexandr | Evening group | 45 | 250 | 837 | 921
892 | Erochevich | Anastasia | Day group | 8 | 998 | 571 | 194
893 | Ossa | Alexey | Evening group | 23 | 982 | 671 | 270
894 | Kot | Valentin | Evening group | 29 | 66 | 593 | 612
895 | Chernych | Elena | Evening group | 43 | 111 | 59 | 798
896 | Meye | Oleg | Evening group | 52 | 392 | 107 | 692
897 | Meye | Marina | Day group | 52 | 518 | 454 | 505
898 | Grechko | Sonya | Day group | 52 | 316 | 453 | 799
899 | Erochevich | Anastasia | Evening group | 46 | 362 | 864 | 468
900 | Rozental | Maria | Day group | 43 | 720 | 743 | 682
901 | Meye | Artem | Day group | 34 | 768 | 360 | 167
902 | Bobr | Vladislav | Day group | 34 | 296 | 201 | 459
903 | Erochevich | Alexey | Day group | 26 | 861 | 722 | 979
904 | Ossa | Oleg | Day group | 39 | 624 | 385 | 851
905 | Pogrebnyak | Oleg | Evening group | 37 | 251 | 60 | 516
906 | Ossa | Nikita | Day group | 39 | 129 | 524 | 133
907 | Chernych | Dmitriy | Evening group | 4 | 447 | 217 | 383
908 | Pogrebnyak | Nikita | Day group | 13 | 149 | 134 | 168
909 | Erochevich | Sonya | Day group | 46 | 8 | 172 | 739
910 | Rozental | Maria | Day group | 54 | 561 | 163 | 432
911 | Rozental | Elena | Day group | 25 | 533 | 810 | 688
912 | Ossa | Oleg | Evening group | 14 | 590 | 258 | 693
913 | Erochevich | Sonya | Day group | 32 | 391 | 497 | 923
914 | Rozental | Anastasia | Day group | 47 | 327 | 54 | 62
915 | Grechko | Alexey | Evening group | 49 | 34 | 738 | 904
916 | Chernych | Alexey | Evening group | 32 | 620 | 530 | 267
917 | Rozental | Sonya | Day group | 51 | 593 | 34 | 771
918 | Grechko | Valentin | Day group | 1 | 354 | 681 | 67
919 | Kot | Dmitriy | Day group | 36 | 705 | 626 | 167
920 | Pogrebnyak | Artem | Evening group | 48 | 570 | 224 | 495
921 | Fischer | Anastasia | Day group | 47 | 791 | 66 | 787
922 | Grechko | Alexey | Evening group | 48 | 782 | 388 | 956
923 | Meye | Marina | Day group | 8 | 753 | 666 | 717
924 | Grechko | Sonya | Evening group | 3 | 729 | 975 | 623
925 | Meuler | Anastasia | Evening group | 52 | 963 | 308 | 518
926 | Kot | Vladislav | Evening group | 36 | 113 | 216 | 881
927 | Chernych | Marina | Evening group | 9 | 205 | 406 | 966
928 | Chernych | Vladislav | Evening group | 2 | 652 | 61 | 659
929 | Meuler | Alexey | Evening group | 12 | 162 | 259 | 256
930 | Chernych | Elena | Day group | 37 | 687 | 967 | 699
931 | Fischer | Sonya | Day group | 34 | 23 | 196 | 127
932 | Ossa | Oleg | Evening group | 21 | 31 | 70 | 634
933 | Kot | Nikita | Evening group | 47 | 235 | 23 | 791
934 | Meye | Maria | Day group | 41 | 550 | 552 | 526
935 | Bobr | Alexandr | Evening group | 41 | 350 | 683 | 532
936 | Meuler | Maria | Evening group | 8 | 721 | 863 | 699
937 | Bobr | Oleg | Day group | 14 | 842 | 351 | 681
938 | Meye | Maria | Evening group | 12 | 435 | 506 | 130
939 | Kot | Dmitriy | Evening group | 12 | 104 | 23 | 102
940 | Meye | Artem | Day group | 40 | 354 | 123 | 82
941 | Rozental | Oleg | Day group | 27 | 268 | 479 | 961
942 | Ossa | Anastasia | Day group | 10 | 363 | 935 | 950
943 | Fischer | Alexey | Evening group | 53 | 383 | 449 | 707
944 | Fischer | Nikita | Day group | 30 | 556 | 74 | 770
945 | Kot | Vladislav | Evening group | 17 | 807 | 523 | 522
946 | Kornienko | Dmitriy | Evening group | 1 | 461 | 693 | 768
947 | Bobr | Nikita | Evening group | 31 | 368 | 313 | 556
948 | Erochevich | Anastasia | Day group | 34 | 315 | 168 | 757
949 | Chernych | Vladislav | Day group | 49 | 959 | 205 | 959
950 | Erochevich | Vladislav | Evening group | 10 | 410 | 565 | 623
951 | Kornienko | Vladislav | Day group | 17 | 206 | 556 | 883
952 | Kornienko | Marina | Evening group | 33 | 929 | 385 | 426
953 | Meuler | Nikita | Evening group | 21 | 610 | 267 | 38
954 | Chernych | Sonya | Day group | 15 | 957 | 358 | 176
955 | Fischer | Oleg | Day group | 11 | 35 | 229 | 305
956 | Erochevich | Marina | Evening group | 27 | 563 | 7 | 238
957 | Pogrebnyak | Maria | Day group | 42 | 313 | 142 | 951
958 | Meye | Maria | Day group | 26 | 719 | 274 | 273
959 | Pogrebnyak | Marina | Evening group | 37 | 989 | 706 | 259
960 | Fischer | Nikita | Day group | 53 | 492 | 322 | 531
961 | Grechko | Marina | Day group | 52 | 181 | 60 | 150
962 | Kot | Achmed | Evening group | 35 | 92 | 246 | 522
963 | Pogrebnyak | Oleg | Day group | 9 | 744 | 173 | 605
964 | Rozental | Valentin | Day group | 30 | 681 | 410 | 707
965 | Kot | Elena | Evening group | 12 | 461 | 504 | 401
966 | Rozental | Artem | Evening group | 23 | 762 | 544 | 967
967 | Chernych | Anastasia | Day group | 25 | 710 | 957 | 708
968 | Fischer | Nikita | Day group | 3 | 852 | 191 | 273
969 | Bobr | Nikita | Day group | 45 | 966 | 644 | 994
970 | Meye | Nikita | Day group | 51 | 769 | 104 | 420
971 | Grechko | Marina | Evening group | 0 | 335 | 791 | 393
972 | Kornienko | Elena | Day group | 31 | 649 | 148 | 849
973 | Bobr | Marina | Evening group | 4 | 523 | 940 | 398
974 | Meuler | Achmed | Day group | 17 | 447 | 3 | 796
975 | Grechko | Artem | Day group | 31 | 871 | 327 | 375
976 | Bobr | Maria | Day group | 33 | 818 | 600 | 105
977 | Chernych | Anastasia | Day group | 29 | 264 | 261 | 434
978 | Chernych | Artem | Evening group | 23 | 811 | 423 | 310
979 | Bobr | Dmitriy | Day group | 31 | 277 | 236 | 701
980 | Chernych | Alexey | Evening group | 17 | 398 | 12 | 948
981 | Kornienko | Nikita | Day group | 33 | 758 | 747 | 603
982 | Meye | Elena | Evening group | 36 | 809 | 578 | 16
983 | Chernych | Marina | Evening group | 24 | 171 | 697 | 278
984 | Rozental | Nikita | Evening group | 0 | 36 | 513 | 278
985 | Rozental | Anastasia | Day group | 29 | 443 | 392 | 541
986 | Ossa | Artem | Evening group | 32 | 727 | 716 | 708
987 | Erochevich | Artem | Evening group | 19 | 215 | 915 | 339
988 | Erochevich | Alexey | Day group | 46 | 375 | 295 | 919
989 | Meye | Sonya | Day group | 53 | 755 | 656 | 435
990 | Pogrebnyak | Oleg | Evening group | 11 | 709 | 940 | 270
991 | Pogrebnyak | Achmed | Day group | 45 | 409 | 207 | 82
992 | Kornienko | Vladislav | Evening group | 45 | 584 | 467 | 372
993 | Grechko | Dmitriy | Day group | 4 | 592 | 437 | 602
994 | Chernych | Vladislav | Evening group | 23 | 18 | 543 | 874
995 | Kornienko | Maria | Evening group | 41 | 605 | 824 | 89
996 | Pogrebnyak | Valentin | Day group | 52 | 821 | 173 | 65
997 | Rozental | Anastasia | Day group | 47 | 601 | 837 | 784
998 | Ossa | Oleg | Day group | 4 | 219 | 19 | 700
999 | Rozental | Anastasia | Evening group | 29 | 602 | 978 | 212
